round,candidate_id,S,C,L,Q_raw,Q_rel,on_frontier,selected
4,deepseek_r1/direct,0.3391,0.068249,23.305,0.3391,0.9201,1,0
4,deepseek_r1_32b/direct,0.3195,0.041364,8.068,0.3195,0.8504,1,0
4,deepseek_r1_32b/direct,0.0814,0.000683,15.624,0.0814,0.0,1,0
4,step_3_5_flash/direct,0.2685,0.043344,4.205,0.2685,0.6683,1,0
5,qwen_7b/direct,0.2165,0.006479,5.816,0.2165,0.2785,1,0
5,qwen_14b/direct,0.2892,0.010026,5.325,0.2892,0.648,1,0
5,qwen_14b/executor_plus_verifier,0.3091,0.009976,10.04,0.3091,0.7495,1,0
5,qwen_14b/executor_plus_verifier,0.1617,0.0,30.867,0.1617,0.0,1,0
5,qwen_32b/direct,0.3004,0.011511,8.163,0.3004,0.7052,1,0
5,qwen_32b/executor_plus_verifier,0.3169,0.040436,14.745,0.3169,0.789,1,0
5,qwen_397b/direct,0.3389,0.015802,25.477,0.3389,0.9007,1,0
5,qwen_397b/executor_verifier_agg,0.3224,0.082603,275.487,0.3224,0.817,1,0
5,qwen_vl_30b/executor_verifier_agg,0.3457,0.050469,130.261,0.3457,0.9355,1,0
5,deepseek_v3_2_exp/direct,0.3584,0.018559,15.137,0.3584,1.0,1,1
5,deepseek_v3_2_exp/executor_plus_verifier,0.3552,0.056211,45.324,0.3552,0.9835,1,0
5,deepseek_v3_2_exp/executor_verifier_agg,0.3559,0.085078,65.524,0.3559,0.9874,1,0
5,deepseek_v3_1/direct,0.282,0.032804,6.567,0.282,0.6117,1,0
5,deepseek_r1/direct,0.3454,0.067368,23.049,0.3454,0.934,1,0
5,deepseek_r1_32b/direct,0.3168,0.033964,7.784,0.3168,0.7886,1,0
5,kimi_k2_5/executor_plus_verifier,0.3156,0.216892,52.181,0.3156,0.7825,1,0
5,step_3_5_flash/direct,0.2651,0.042373,4.495,0.2651,0.5258,1,0
6,qwen_7b/direct,0.2175,0.013238,5.977,0.2175,0.4872,1,0
6,qwen_14b/direct,0.2871,0.01899,5.014,0.2871,0.7372,1,0
6,qwen_14b/executor_plus_verifier,0.3044,0.008566,10.262,0.3044,0.7996,1,0
6,qwen_14b/executor_plus_verifier,0.1661,0.0,30.593,0.1661,0.3025,1,0
6,qwen_32b/direct,0.2995,0.010325,7.945,0.2995,0.7821,1,0
6,qwen_32b/executor_plus_verifier,0.3128,0.035057,14.593,0.3128,0.8299,1,0
6,qwen_397b/direct,0.34,0.0139,25.385,0.34,0.9274,1,0
6,qwen_vl_30b/executor_plus_verifier,0.3204,0.058498,90.421,0.3204,0.857,1,0
6,qwen_vl_30b/executor_verifier_agg,0.3487,0.047663,130.386,0.3487,0.9589,1,0
6,deepseek_v3_2_exp/direct,0.3602,0.018798,15.408,0.3602,1.0,1,1
6,deepseek_v3_2_exp/executor_plus_verifier,0.3536,0.060312,45.604,0.3536,0.9763,1,0
6,deepseek_v3_2_exp/executor_verifier_agg,0.3558,0.085767,65.251,0.3558,0.9841,1,0
6,deepseek_v3_2_exp/direct,0.1074,0.009347,8.636,0.1074,0.0915,1,0
6,deepseek_r1/direct,0.3378,0.076458,23.181,0.3378,0.9197,1,0
6,deepseek_r1_32b/direct,0.3142,0.02595,7.843,0.3142,0.8346,1,0
6,deepseek_r1_32b/direct,0.1761,0.007101,12.079,0.1761,0.3383,1,0
6,deepseek_r1_32b/direct,0.082,0.003333,15.454,0.082,0.0,1,0
6,kimi_k2_5/executor_plus_verifier,0.3121,0.218698,52.047,0.3121,0.8273,1,0
6,step_3_5_flash/direct,0.2616,0.038465,4.663,0.2616,0.6457,1,0
7,qwen_7b/direct,0.215,0.014432,5.998,0.215,0.4754,1,0
7,qwen_14b/direct,0.2854,0.018065,5.157,0.2854,0.7353,1,0
7,qwen_14b/executor_plus_verifier,0.308,0.007051,10.316,0.308,0.8186,1,0
7,qwen_14b/executor_plus_verifier,0.1633,0.0,30.831,0.1633,0.2846,1,0
7,qwen_32b/direct,0.2987,0.012329,8.03,0.2987,0.7843,1,0
7,qwen_32b/executor_plus_verifier,0.3128,0.033885,14.559,0.3128,0.8366,1,0
7,qwen_32b/executor_verifier_agg,0.3315,0.036329,44.515,0.3315,0.9056,1,0
7,qwen_397b/direct,0.3365,0.012703,25.191,0.3365,0.9238,1,0
7,qwen_397b/executor_verifier_agg,0.3246,0.082418,275.573,0.3246,0.8799,1,0
7,qwen_vl_30b/executor_plus_verifier,0.3204,0.056766,90.182,0.3204,0.8643,1,0
7,qwen_vl_30b/executor_verifier_agg,0.3456,0.046856,130.422,0.3456,0.9574,1,0
7,deepseek_v3_2_exp/direct,0.3571,0.014585,15.181,0.3571,1.0,1,1
7,deepseek_v3_2_exp/executor_plus_verifier,0.3518,0.065499,45.52,0.3518,0.9804,1,0
7,deepseek_v3_2_exp/executor_verifier_agg,0.3535,0.09499,65.366,0.3535,0.9865,1,0
7,deepseek_v3_2_exp/direct,0.1097,0.012301,9.049,0.1097,0.087,1,0
7,deepseek_v3_1/direct,0.2788,0.032737,6.642,0.2788,0.711,1,0
7,deepseek_r1/direct,0.3415,0.074025,22.931,0.3415,0.9423,1,0
7,deepseek_r1_32b/direct,0.3156,0.027607,8.157,0.3156,0.8469,1,0
7,deepseek_r1_32b/executor_verifier_agg,0.3302,0.05723,82.947,0.3302,0.9008,1,0
7,deepseek_r1_32b/direct,0.0862,0.0,15.408,0.0862,0.0,1,0
7,kimi_k2_5/executor_plus_verifier,0.3132,0.215824,52.225,0.3132,0.8379,1,0
7,step_3_5_flash/direct,0.2678,0.033897,4.492,0.2678,0.6704,1,0
8,qwen_7b/direct,0.2177,0.014601,5.72,0.2177,0.4938,1,0
8,qwen_14b/direct,0.2855,0.018746,5.381,0.2855,0.7432,1,0
8,qwen_14b/executor_plus_verifier,0.3076,0.012612,10.218,0.3076,0.8244,1,0
8,qwen_14b/executor_plus_verifier,0.1642,0.001054,30.654,0.1642,0.297,1,0
8,qwen_32b/direct,0.2995,0.013612,7.827,0.2995,0.7945,1,0
8,qwen_32b/executor_plus_verifier,0.3175,0.03738,14.564,0.3175,0.8609,1,0
8,qwen_32b/executor_verifier_agg,0.3306,0.033792,44.321,0.3306,0.9091,1,0
8,qwen_397b/direct,0.3351,0.015855,25.146,0.3351,0.9256,1,0
8,qwen_397b/executor_verifier_agg,0.3234,0.085598,275.656,0.3234,0.8826,1,0
8,qwen_vl_30b/executor_plus_verifier,0.3252,0.05067,90.564,0.3252,0.8892,1,0
8,qwen_vl_30b/executor_verifier_agg,0.3462,0.044839,130.281,0.3462,0.9662,1,0
